Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,Chelsea,38,29,8,1,72,15,57,95
2,Arsenal,38,25,8,5,87,36,51,83
3,Manchester United,38,22,11,5,58,26,32,77
4,Everton,38,18,7,13,45,46,-1,61
5,Liverpool,38,17,7,14,52,41,11,58
6,Bolton Wanderers,38,16,10,12,49,44,5,58
7,Middlesbrough,38,14,13,11,53,46,7,55
8,Manchester City,38,13,13,12,47,39,8,52
9,Tottenham Hotspur,38,14,10,14,47,41,6,52
10,Aston Villa,38,12,11,15,45,52,-7,47
11,Charlton Athletic,38,12,10,16,42,53,-11,46
12,Birmingham City,38,12,10,16,40,46,-6,46
13,Fulham,38,12,8,18,52,58,-6,44
14,Newcastle United,38,10,14,14,47,54,-7,44
15,Blackburn Rovers,38,10,15,13,42,43,-1,45
16,Portsmouth,38,10,15,13,39,59,-16,45
17,West Bromwich Albion,38,6,16,16,36,61,-25,34
18,Crystal Palace,38,7,12,19,41,62,-21,33
19,Norwich City,38,7,12,19,42,77,-35,33
20,Southampton,38,6,14,18,45,66,-21,32
