Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts
1,Manchester United,38,25,8,5,74,34,40,83
2,Arsenal,38,23,9,6,85,42,43,78
3,Newcastle United,38,21,6,11,63,48,15,69
4,Chelsea,38,19,10,9,68,38,30,67
5,Liverpool,38,18,10,10,61,41,20,64
6,Blackburn Rovers,38,16,12,10,52,43,9,60
7,Everton,38,17,12,9,48,46,2,59
8,Southampton,38,13,12,13,45,46,-1,52
9,Manchester City,38,15,8,15,47,54,-7,53
10,Tottenham Hotspur,38,14,8,16,51,62,-11,50
11,Middlesbrough,38,13,10,15,44,49,-5,49
12,Charlton Athletic,38,14,7,17,41,56,-15,49
13,Birmingham City,38,13,10,15,41,46,-5,49
14,Fulham,38,13,9,16,41,50,-9,48
15,Leeds United,38,14,6,18,57,51,6,48
16,Aston Villa,38,12,9,17,42,47,-5,45
17,Bolton Wanderers,38,10,14,14,41,51,-10,44
18,West Ham United,38,10,12,16,42,59,-17,42
19,West Bromwich Albion,38,6,8,24,29,65,-36,26
20,Sunderland,38,4,7,27,21,65,-44,19
